date,country,state,county,fips,lat,long,locationId,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused1,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused2,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,metrics.testPositivityRatio,metrics.testPositivityRatioDetails,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused3,unused4,metrics.icuCapacityRatio,riskLevels.overall,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,riskLevels.caseDensity,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel
2020-03-03,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,,0,0,,,0.0,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-04,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,,0,0,,,0.0,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-05,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,,0,0,,,0.0,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-06,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0,,,,,0,0,,,0.0,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-07,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,,,,,,,,,,,,,,,,,,0.105,,0.0,,,,,,,0,,,,,0,3,,,0.0,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-08,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,1,0,,,,,,,,,,,,,,,,0.105,,0.0,,,,,,,0,,,,,0,3,,,0.0,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-09,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,2,0,,,,,,,,,,,,1,,,,0.056,,0.0,,,,,,,0,,,0,,0,1,,,0.1,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-10,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,2,0,,,,,,,,,,,,0,,,,0.091,,0.0,,1.73,0.86,,,,0,,,0,,0,2,,,0.2,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-11,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,3,0,,,,,,,,,,,,1,,,,0.103,,0.0,,1.76,0.56,,,,0,,,0,,0,3,,,0.2,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-12,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,5,0,,,,,,,,,,,,2,,,,0.138,,0.1,,1.8,0.49,,,,0,,,0,,0,3,,,0.4,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-13,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,8,0,,,,,,,,,,,,3,,,,0.188,,0.1,,1.83,0.5,,,,0,,,0,,0,3,,,0.7,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-14,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,15,0,,,,,,,,,,,,7,,,,0.191,,0.2,,1.85,0.47,,,,0,,,0,,0,3,,,1.5,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-15,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,16,0,,,,,,,,,,,,1,,,,0.329,,0.2,,1.88,0.46,,,,0,,,0,,0,3,,,1.6,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-16,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,29,0,,,,,,,,,,,,13,,,,0.409,,0.4,,1.9,0.45,,,,0,,,0,,0,3,,,2.9,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-17,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,48,0,,,,,,,,,,,,19,,,,0.427,,0.7,,1.91,0.37,,,,0,,,0,,0,3,,,4.8,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-18,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,69,1,,,,,,,,,,,,21,,,,0.431,,1.0,,1.92,0.34,,,,0,,,1,,0,3,,,7.0,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-19,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,102,4,,,,,,,,,,,,33,,,,0.385,,1.5,,1.92,0.3,,,,3,,,3,,1,3,,,10.3,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-20,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,122,4,,,,,,,,,,,,20,,,,0.409,,1.7,,1.92,0.31,,,,3,,,0,,1,3,,,12.1,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-21,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,140,4,,,,,,,,,,,,18,,,,0.364,,1.9,,1.9,0.26,,,,3,,,0,,1,3,,,13.3,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-22,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,208,5,,,,,,,,,,,,68,,,,0.34,,2.9,,1.88,0.26,,,,3,,,1,,1,3,,,20.4,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-23,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,270,6,,,,,,,,,,,,62,,,,0.331,,3.6,,1.86,0.2,,,,3,,,1,,1,3,,,25.5,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-24,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,384,7,,,,,,,,,,,,114,,,,0.337,,5.1,,1.83,0.16,,,,3,,,1,,1,3,,,35.6,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-25,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,546,12,,,,,,,,,,,,162,,,,0.357,,7.2,,1.8,0.17,,,,3,,,5,,1,3,,,50.6,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-26,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,607,13,,,,,,,,,,,,61,,,,0.388,,7.6,,1.75,0.13,,,,3,,,1,,1,3,,,53.5,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-27,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,752,15,,,,,,,,,,,,145,,,,0.4,,9.5,,1.7,0.11,,,,3,,,2,,1,3,,,66.8,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-28,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,908,20,,,,,,,,,,,,156,,,,0.415,,11.6,,1.65,0.12,,,,3,,,5,,2,3,,,81.4,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-29,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,1245,21,,,,,,,,,,,,337,,,,0.436,,15.7,,1.59,0.11,,,,3,,,1,,2,3,,,109.9,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-30,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,1445,21,,,,,,,,,,,,200,,,,0.457,,17.8,,1.54,0.1,,,,3,,,0,,2,3,,,124.6,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-03-31,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,1870,38,,,,,,,,,,,,425,,,,0.472,,22.5,,1.49,0.1,,,,3,,,17,,2,3,,,157.5,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-04-01,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,1986,46,,,,,,,,,,,,116,,,,0.468,,21.8,,1.44,0.1,,,,3,,,8,,2,3,,,152.7,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-04-02,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,2132,65,,,,,,,,,,,,146,,,,0.476,,23.1,,1.39,0.1,,,,3,,,19,,2,3,,,161.7,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-04-03,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,2717,76,,,,,,,,,,,,585,,,,0.495,,29.8,,1.34,0.1,,,,3,,,11,,3,3,,,208.3,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-04-04,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,2824,86,,,,,,,,,,,,107,,,,0.518,,29.0,,1.29,0.1,,,,3,,,10,,3,3,,,203.1,121,943332,,,,,,,,"Fairfield, CT",,,,,
2020-04-05,US,CT,Fairfield County,09001,,,iso1:us#iso2:us-ct#fips:09001,3050,96,,,,,,,,,,,,226,,,,0.515,,27.3,,1.25,0.1,,,,3,,,10,,3,3,,,191.3,121,943332,,,,,,,,"Fairfield, CT",,,,,
