date,country,state,county,fips,lat,long,locationId,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused1,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused2,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,metrics.testPositivityRatio,metrics.testPositivityRatioDetails,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused3,unused4,metrics.icuCapacityRatio,riskLevels.overall,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,riskLevels.caseDensity,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel
2020-03-01,US,CT,,09,,,iso1:us#iso2:us-ct,,,,2,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-03-02,US,CT,,09,,,iso1:us#iso2:us-ct,,,,4,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-03-03,US,CT,,09,,,iso1:us#iso2:us-ct,,,,7,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-03-04,US,CT,,09,,,iso1:us#iso2:us-ct,,,,15,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-03-05,US,CT,,09,,,iso1:us#iso2:us-ct,,,,31,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-03-06,US,CT,,09,,,iso1:us#iso2:us-ct,,,,45,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-03-07,US,CT,,09,,,iso1:us#iso2:us-ct,,,2,57,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,0,0,,,0.0,,,,,,,,,,,,,,,
2020-03-08,US,CT,,09,,,iso1:us#iso2:us-ct,1,0,2,57,,,,,,,,,,,,,,0.086,,0.0,,,,,,,0,,,,,0,2,,,0.0,,,,,,,,,,,,,,,
2020-03-09,US,CT,,09,,,iso1:us#iso2:us-ct,2,0,4,96,,,,,,,,,,1,,,,0.071,,0.0,,,,,,,0,,,0,,0,1,,,0.0,,,,,,,,,,,,,,,
2020-03-10,US,CT,,09,,,iso1:us#iso2:us-ct,2,0,6,129,,,,,,,,,,0,,,,0.071,,0.0,,1.82,0.84,,,,0,,,0,,0,1,,,0.0,,,,,,,,,,,,,,,
